address,balance,lifetime,#investment_to_contract,#payment_from_contract,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth
0xf41624c6465e57a0dca498ef0b62f07cbaab09ca,0.000000,0,6,6,5,1,0.000000,2.708013,0.000000,0.139461,1.0000,0.0000,1.0000,0.0,1.0000,0.0,1,0,0
0xf77cead5b85f379aa7b9031a842ccd903d7966a7,0.000000,106,11,2,1,2,-4.500000,5.5,0.000000,0.005985,0.1818,1.0000,0.0566,9.165151,0.0189,0.0,0,1,0
0xd759e3a9f425d64c00b20d756b6f7ad6053b99f5,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x0230CfC895646d34538aE5b684d76Bf40a8B8B89,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,3.0000,0.0,0.0000,0.0,0,0,1
0x268b7976e94e84a48bf8b2b57ba34b59ed836a74,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,408.0000,75.382389,0.0000,0.0,0,0,1
0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,27.0000,558.373117,0.0000,0.0,0,0,1
0x2d4b1cc9a2d7417a9689bbcfefb224876cda7923,0.000000,64,15,15,12,1,0.000000,4.402796,0.000000,0.704417,1.0000,0.0000,0.1875,3.817904,0.1250,1.322876,0,0,1
0x079b9e911109ee8518A71266fEBA7CAfB748EE5A,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,6.5,0.0000,0.0,0,0,1
0xd284b7c80ed6cf8430536646066e032a558d48bd,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,4.0000,1129.243192,0.0000,0.0,0,0,1
0x035a401972f228b58dcae76bf318b54ed036d680,4685.513959,969,2778,19,5,10,-197.071429,714.438187,-334.679568,19901.343939,0.0068,0.2000,0.0640,244.744129,0.0144,0.6227,1,0,0
0x67d061904e6e308c4e01b28b72d7fc15dd0d7dd6,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
