address,balance,lifetime,tx_in,tx_out,investment_in,payment_out,investment_to_contract/tx_in,payment_from_contract/tx_out,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth
0x0093cdd1ad5e2b8e8990213c9d3d832ec83e453d,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x01680dc54cf0942bcabc1d6c955007e180ed4dd1,0.009500,0,5,11,4,11,0.8,1.0,2,3,2.333333,1.247219,-0.003167,0.020834,2.7500,1.0000,1.0000,0.0,1.0000,0.0,1,0,0
0xa38feb7b0aaad949a1b99ff516d4e3ea2e317bbf,0.000000,0,49,135,48,135,0.9796,1.0,11,10,7.909091,14.462834,0.000000,0.450535,2.8125,0.9091,1.0000,0.0,1.0000,0.0,0,1,0
0x020522bf9b8ed6ff41e2fa6765a17e20e2767d64,400.000010,804,27,58,25,58,0.9259,1.0,22,13,1.500000,2.726136,-18.181819,119.764724,2.3200,0.5909,0.0050,6.759253,0.0025,23.0,0,1,0
0x020e0638aa7d98b40d2a3a7ebd37ebdfc5cba2fd,0.006000,37,442,474,422,474,0.9548,1.0,51,47,1.019608,2.986835,-0.000117,0.334815,1.1232,0.9216,0.1892,113.512024,0.1622,130.055117,0,1,0
0x0217495d71d7246205bc1b1039dad814d0c0c192,0.000000,1,144,711,135,711,0.9375,1.0,62,41,8.727273,32.648516,0.000000,0.838927,5.2667,0.5968,2.0000,71.0,1.0000,0.0,0,0,1
0x02f8e82eef749e5b444600fdc14ab5ba52fba931,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x032747313c4e914b5fce356ab8dc4df551972dcd,0.000000,119,40,2,1,2,0.025,1.0,1,1,1.000000,0.0,0.000000,0.0,2.0000,1.0000,0.0168,14.0,0.0084,0.0,0,1,0
0x039f5f6e0a32c775ea40cd9971c940edb2710283,0.000000,3,15,3,11,3,0.7333,1.0,5,2,-1.333333,1.105542,0.000000,18.309924,0.2727,0.2000,0.6667,6.5,0.3333,0.0,1,0,0
0x03f69791513022d8b67facf221b98243346df7cb,0.000000,1,51,172,50,172,0.9804,1.0,29,19,3.935484,13.085169,0.000000,1.76024,3.4400,0.5862,2.0000,12.5,2.0000,47.0,0,0,1
